f[Hz] S(f)[m2/Hz]
0.000000000000000000 0.000492534531749026
0.009803921568627450 0.000536485562590699
0.019607843137254900 0.000640314017760530
0.029411764705882400 0.000899828147041215
0.039215686274509800 0.001706486288665660
0.049019607843137300 0.009771087738935130
0.058823529411764700 0.041876620659251100
0.068627450980392200 0.077597599615248800
0.078431372549019600 0.081420970160821900
0.088235294117647100 0.069767897583640100
0.098039215686274500 0.067765223859293700
0.107843137254902000 0.069234979093195600
0.117647058823529000 0.072999348705546300
0.127450980392157000 0.080230525866183500
0.137254901960784000 0.076905850794323900
0.147058823529412000 0.070090110321980700
0.156862745098039000 0.076151589579839700
0.166666666666667000 0.089899675859988000
0.176470588235294000 0.079728744133126100
0.186274509803922000 0.041866012153629300
0.196078431372549000 0.011574525709894400
0.205882352941176000 0.001713278762873140
0.215686274509804000 0.000968115425042315
0.225490196078431000 0.000663497546845732
0.235294117647059000 0.000496325340653667
0.245098039215686000 0.000391583367211185
0.254901960784314000 0.000320554625801113
0.264705882352941000 0.000269728689083363
0.274509803921569000 0.000231901063561901
0.284313725490196000 0.000202885948592665
0.294117647058824000 0.000180093001974341
0.303921568627451000 0.000161839144421603
0.313725490196078000 0.000146987324718276
0.323529411764706000 0.000134744427422142
0.333333333333333000 0.000124542262839847
0.343137254901961000 0.000115964454027826
0.352941176470588000 0.000108699908093753
0.362745098039216000 0.000102512290533721
0.372549019607843000 0.000097219466897361
0.382352941176471000 0.000092679339071071
0.392156862745098000 0.000088779892325001
0.401960784313726000 0.000085432075602216
0.411764705882353000 0.000082564631698140
0.421568627450980000 0.000080120291590596
0.431372549019608000 0.000078052945906691
0.441176470588235000 0.000076325525525309
0.450980392156863000 0.000074908394496890
0.460784313725490000 0.000073778145461984
0.470588235294118000 0.000072916690364785
0.480392156862745000 0.000072310584549723
0.490196078431373000 0.000071950546553077
0.500000000000000000 0.000071831131938492
